rowid,aggregated_crossings_id,pscis_crossing_id,my_crossing_reference,source,barrier_result,downstream_channel_width_meters,fill_depth_meters,fill_dpth_over,crossing_fix,span_input
41,1015600305,,15600305,pscis_phase1.xlsm,Potential,1,4,1,Replace Structure with Streambed Simulation CBS,3
42,1015600459,,15600459,pscis_phase1.xlsm,Potential,2.6,0.5,-2.5,Replace with New Open Bottom Structure,15
43,1015600182,,15600182,pscis_phase1.xlsm,Barrier,1.3,9.9,6.9,Replace Structure with Streambed Simulation CBS,3
44,1015600490,,15600490,pscis_phase1.xlsm,Barrier,1.1,3,0,Replace Structure with Streambed Simulation CBS,3
45,1015603729,,15603729,pscis_phase1.xlsm,Potential,2.4,0.5,-2.5,Replace with New Open Bottom Structure,15
46,1015600285,,15600285,pscis_phase1.xlsm,Barrier,3,0.5,-2.5,Replace with New Open Bottom Structure,15
47,1015600427,,15600427,pscis_phase1.xlsm,Barrier,3.1,1,-2,Replace with New Open Bottom Structure,15
48,1015600478,,15600478,pscis_phase1.xlsm,Potential,0.9,0.5,-2.5,Replace Structure with Streambed Simulation CBS,3
49,1005400450,,5400450,pscis_phase1.xlsm,Barrier,3.1,2,-1,Replace with New Open Bottom Structure,15
50,1005400445,,5400445,pscis_phase1.xlsm,Barrier,3.4,0.4,-2.6,Replace with New Open Bottom Structure,15
51,1005400440,,5400440,pscis_phase1.xlsm,Barrier,3.5,1,-2,Replace with New Open Bottom Structure,15
52,1005406295,,5406295,pscis_phase1.xlsm,Barrier,4.1,1.2,-1.8,Replace with New Open Bottom Structure,15
53,1005400044,,5400044,pscis_phase1.xlsm,Barrier,4.3,1.3,-1.7,Replace with New Open Bottom Structure,15
54,1005400227,,5400227,pscis_phase1.xlsm,Barrier,1.1,4,1,Replace Structure with Streambed Simulation CBS,3
55,1005400286,,5400286,pscis_phase1.xlsm,Barrier,2.8,0.1,-2.9,Replace with New Open Bottom Structure,15
56,1005400042,,5400042,pscis_phase1.xlsm,Barrier,2.4,4,1,Replace with New Open Bottom Structure,18
57,1005400157,,5400157,pscis_phase1.xlsm,Barrier,6.5,4,1,Replace with New Open Bottom Structure,18
58,1005401774,,5401774,pscis_phase1.xlsm,Barrier,5.6,1,-2,Replace with New Open Bottom Structure,15
59,1005400019,,5400019,pscis_phase1.xlsm,Barrier,1.1,6,3,Replace Structure with Streambed Simulation CBS,3
60,1005400239,,5400239,pscis_phase1.xlsm,Barrier,2.3,5,2,Replace with New Open Bottom Structure,21
61,1015600265,,15600265,pscis_phase1.xlsm,Barrier,1.9,1.5,-1.5,Replace Structure with Streambed Simulation CBS,3
62,1015600301,,15600301,pscis_phase1.xlsm,Barrier,1.2,3,0,Replace Structure with Streambed Simulation CBS,3
63,1015600302,,15600302,pscis_phase1.xlsm,Barrier,6.1,0.8,-2.2,Replace with New Open Bottom Structure,15
64,1015600624,,15600624,pscis_phase1.xlsm,Barrier,0.9,2.2,-0.7999999999999998,Replace Structure with Streambed Simulation CBS,3
65,1015600626,,15600626,pscis_phase1.xlsm,Barrier,1.6,2,-1,Replace Structure with Streambed Simulation CBS,3
66,1015600076,,15600076,pscis_phase1.xlsm,Barrier,1.2,5,2,Replace Structure with Streambed Simulation CBS,3
67,1015600629,,15600629,pscis_phase1.xlsm,Barrier,3.3,8,5,Replace Structure with Streambed Simulation CBS,4.5
68,1015600057,,15600057,pscis_phase1.xlsm,Barrier,2.6,5,2,Replace with New Open Bottom Structure,21
69,1015603872,,15603872,pscis_phase1.xlsm,Potential,3.1,5,2,Replace with New Open Bottom Structure,21
70,1009902601,,9902601,pscis_phase1.xlsm,Barrier,1.7,8,5,Replace Structure with Streambed Simulation CBS,3
71,1009903105,,9903105,pscis_phase1.xlsm,Barrier,2.2,0.7,-2.3,Replace with New Open Bottom Structure,15
