collection_type,region_name,creek,site_name,site_e_dna_data_file,new_site,minnow_site,zone,easting,northing,date_raw,year,s_code,geom,date
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,NA,10,438118,5986317,No sample,2023,2,"c(1134334.30545237, 1003950.94047527)",NA
ground,VF,Knight,Jack Thompson / Above Sackner road,KN01,KN01,NA,10,438118,5986317,No sample,2023,3,"c(1134334.30545237, 1003950.94047527)",NA
ground,VF,Moss,Below bridge,MS01 ,MS01 ,NA,10,422696,5992331,No sample,2021,1,"c(1118707.72061561, 1009324.85681756)",NA
ground,VF,Moss,Below bridge,MS01 ,MS01 ,NA,10,422696,5992331,No sample,2021,2,"c(1118707.72061561, 1009324.85681756)",NA
ground,VF,Moss,Below bridge,MS01 ,MS01 ,NA,10,422696,5992331,44432,2021,3,"c(1118707.72061561, 1009324.85681756)",2021-08-24
ground,VF,Moss,Above bridge,MS02 ,MS02 ,NA,10,422717,5992335,44355,2021,1,"c(1118728.48182496, 1009329.75508542)",2021-06-08
ground,VF,Moss,Above bridge,MS02 ,MS02 ,NA,10,422717,5992335,44397,2021,2,"c(1118728.48182496, 1009329.75508542)",2021-07-20
ground,VF,Moss,Above bridge,MS02 ,MS02 ,NA,10,422717,5992335,44432,2021,3,"c(1118728.48182496, 1009329.75508542)",2021-08-24
ground,VF,Moss,Either above or below bridge,MO01 - MS,MS02 ,MS 02,10,422717,5992335,44763,2022,1,"c(1118728.48182496, 1009329.75508542)",2022-07-21
ground,VF,Moss,Either above or below bridge,MO01 - MS,MS02 ,MS 02,10,422717,5992335,44797,2022,2,"c(1118728.48182496, 1009329.75508542)",2022-08-24
ground,VF,Moss,Either above or below bridge,MO01 - MS,MS02 ,MS 02,10,422717,5992335,44830,2022,3,"c(1118728.48182496, 1009329.75508542)",2022-09-26
ground,VF,Moss,Above bridge,MS01 - MO,MS02 ,NA,10,422717,5992335,45112,2023,1,"c(1118728.48182496, 1009329.75508542)",2023-07-05
ground,VF,Moss,Above bridge,MS01 - MO,MS02 ,NA,10,422717,5992335,45133,2023,2,"c(1118728.48182496, 1009329.75508542)",2023-07-26
ground,VF,Moss,Above bridge,MS01 - MO,MS02 ,NA,10,422717,5992335,45166,2023,3,"c(1118728.48182496, 1009329.75508542)",2023-08-28
ground,VF,Murray,Silver,MU01,MU01,NA,10,433070,5987471,44035,2020,1,"c(1129253.82798501, 1004893.71768706)",2020-07-23
ground,VF,Murray,Silver,MU01,MU01,NA,10,433070,5987471,44069,2020,2,"c(1129253.82798501, 1004893.71768706)",2020-08-26
ground,VF,Murray,Silver,MU01,MU01,NA,10,433070,5987471,44107,2020,3,"c(1129253.82798501, 1004893.71768706)",2020-10-03
ground,VF,Murray,Silver,MU01,MU01,NA,10,433070,5987471,44135,2020,4,"c(1129253.82798501, 1004893.71768706)",2020-10-31
